,utteranceID,Group_x,Start_x,End_x,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,Utterance,Start_y,End_y,Group_y,Participant,Transcript
16,Group_01_16,Group_01,60.66,62.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60.66,62.49,1,1,Ok so you want us to
17,Group_01_17,Group_01,62.58,65.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,62.58,65.18,1,1,Use the scale to determine the weights ok cool
18,Group_01_18,Group_01,64.91,69.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64.91,69.66,1,4,Yes um and if you guys can fill out that survey like as you go because you'll be submitting answers on there
19,Group_01_19,Group_01,69.81,71.51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,69.81,71.51,1,1,Where's the survey oh ok
20,Group_01_20,Group_01,70.51,70.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,70.51,71.01,1,3,Um it's turned off
21,Group_01_21,Group_01,72.25,73.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,72.25,73.53,1,4,Oh
22,Group_01_22,Group_01,75.81,77.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,75.81,77.17,1,4,And you guys will be group one
23,Group_01_23,Group_01,77.51,77.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,77.51,77.75,1,2,Ok
24,Group_01_24,Group_01,78.08,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,78.08,80.58,1,1,Ok well it would be nine minus ten
25,Group_01_25,Group_01,78.58,78.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78.58,79.08,1,3,One
26,Group_01_26,Group_01,80.58,84.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,80.58,84.3,1,2,That's ten so then
27,Group_01_27,Group_01,86.07,87.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,86.07,87.41,1,1,Just like put it on
28,Group_01_28,Group_01,87.48,89.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,87.48,89.04,1,2,Does the slider move
29,Group_01_29,Group_01,90.12,92.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,90.12,92.13,1,1,Hold on lets just uh
30,Group_01_30,Group_01,95.19,97.17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,95.19,97.17,1,3,It seems pretty balanced
31,Group_01_31,Group_01,97.56,102.03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,97.56,102.03,1,1,Yeah ok so now we know that this is also ten
32,Group_01_32,Group_01,102.39,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,102.39,105.87,1,1,Um ok so now
33,Group_01_33,Group_01,104.08,104.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,104.08,104.58,1,2,Ok
34,Group_01_34,Group_01,106.23,110.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,106.23,110.01,1,1,What would we maybe put that one on there too
35,Group_01_35,Group_01,108.63,109.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,108.63,109.33,1,2,Cool
36,Group_01_36,Group_01,110.16,114.24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,110.16,114.24,1,1,And then see if there's thats twenty which is not
37,Group_01_37,Group_01,112.16,112.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,112.16,112.92,1,2,It's more
38,Group_01_38,Group_01,114.87,120.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,114.87,120.33,1,1,Lets try this one oh gee louise this one
39,Group_01_39,Group_01,117.41,118.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,117.41,118.25,1,3,No  
40,Group_01_40,Group_01,121.2,125.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,121.2,125.01,1,1,Ok lets just oops sorry
41,Group_01_41,Group_01,127.35,132.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,127.35,132.0,1,2,Ok so this one is probably twenty ten ten twenty
42,Group_01_42,Group_01,128.83,130.08,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,128.83,130.08,1,3,Yeah seems about twenty
43,Group_01_43,Group_01,128.41,130.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,128.41,130.75,1,1,Ok so ten ten twenty
44,Group_01_44,Group_01,132.27,139.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,132.27,139.65,1,1,Ok so now lets start at thirty alright put one of those on there
45,Group_01_45,Group_01,135.33,135.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,135.33,135.91,1,3,Yes  
46,Group_01_46,Group_01,135.73,136.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,135.73,136.41,1,2,Yeah thirty
47,Group_01_47,Group_01,140.73,145.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,140.73,145.89,1,1,Ooh its looking like thirty
48,Group_01_48,Group_01,142.91,144.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,142.91,144.92,1,2,Probably thirty at this point
49,Group_01_49,Group_01,148.86,159.42,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,148.86,159.42,1,1,Ok so we got ok yeah this one is really heavy so lets do the a this and a ten
50,Group_01_50,Group_01,149.25,154.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,149.25,154.25,1,2,Yeah ten ten twenty thirty
51,Group_01_51,Group_01,153.21,155.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,153.21,155.25,1,3,Twenty thirty forty
52,Group_01_52,Group_01,159.6,163.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,159.6,163.86,1,3,So fourty pounds
53,Group_01_53,Group_01,162.91,163.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,162.91,163.86,1,1,Yeah
54,Group_01_54,Group_01,164.37,167.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,164.37,167.91,1,3,Fifty pounds or pounds grams
55,Group_01_55,Group_01,169.31,171.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,169.31,171.99,1,1,Interesting so that's ten twenty
56,Group_01_56,Group_01,172.56,183.58,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,172.56,183.58,1,1,So we said this ones thirty I still feel like that's heavier and this one is twenty
57,Group_01_57,Group_01,174.54,185.08,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,57,174.54,185.08,1,2,Yeah yeah the blue dark blue one is thirty that's the larger one it's slightly heavier yeah
58,Group_01_58,Group_01,185.33,187.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,185.33,187.83,1,3,We can replace one of these with the twenty to get
59,Group_01_59,Group_01,188.1,189.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,188.1,189.5,1,3,Sixty here
60,Group_01_60,Group_01,189.91,196.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,189.91,196.44,1,1,Ok and then put that on that one
61,Group_01_61,Group_01,198.15,202.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198.15,202.14,1,2,How much is the dark blue small one ten
62,Group_01_62,Group_01,200.31,201.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,200.31,201.37,1,1,Ten they're both
63,Group_01_63,Group_01,203.49,204.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,203.49,204.34,1,1,Assuming that this was
64,Group_01_64,Group_01,204.58,206.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,204.58,206.37,1,2,Oh gosh I think I got them mixed up
65,Group_01_65,Group_01,207.06,210.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,207.06,210.87,1,1,Yeah Im thinking that it's ten ten twenty thirty
66,Group_01_66,Group_01,211.29,213.93,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,211.29,213.93,1,1,So what have we done weve done forty
67,Group_01_67,Group_01,214.47,216.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,214.47,216.45,1,1,Um
68,Group_01_68,Group_01,216.63,219.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68,216.63,219.06,1,1,And then we did fifty
69,Group_01_69,Group_01,216.16,217.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,216.16,217.66,1,2,It's just like slightly 
70,Group_01_70,Group_01,219.33,221.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,219.33,221.49,1,1,And then we did sixty
71,Group_01_71,Group_01,228.06,231.51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,228.06,231.51,1,1,And now it stopped being too heavy
72,Group_01_72,Group_01,231.54,233.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,231.54,233.52,1,1,So this is supposedly
73,Group_01_73,Group_01,234.27,239.82,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,234.27,239.82,1,1,Thirty fourty fifty correct and it's still heavier than this thing
74,Group_01_74,Group_01,235.83,237.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,235.83,237.58,1,2,Fifty yeah
75,Group_01_75,Group_01,240.84,242.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,240.84,242.82,1,1,So have we done forty
76,Group_01_76,Group_01,251.88,258.72,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76,251.88,258.72,1,1,So thirty this is also forty right so this if forty yeah
77,Group_01_77,Group_01,254.63,255.31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,254.63,255.31,1,2,Ok so that one's twenty right
78,Group_01_78,Group_01,256.84,257.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,256.84,257.01,1,3,Yes
79,Group_01_79,Group_01,260.01,263.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,260.01,263.82,1,1,This is fifty it's not 
80,Group_01_80,Group_01,264.93,267.36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,264.93,267.36,1,1,Yo that's close enough ok so
81,Group_01_81,Group_01,268.08,272.58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,268.08,272.58,1,3,Yeah fifty so we say yellow is fifty
82,Group_01_82,Group_01,267.57,269.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,267.57,269.42,1,1,Fifty boom
83,Group_01_83,Group_01,274.26,280.32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,83,274.26,280.32,1,3,And green is twenty ok so which one is blue and which one is purple
84,Group_01_84,Group_01,275.75,279.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,275.75,279.11,1,2,Yeah
85,Group_01_85,Group_01,275.83,277.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85,275.83,277.75,1,1,I think that's I think that's good
86,Group_01_86,Group_01,281.25,283.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,281.25,283.48,1,2,I think this one is purple and this one is blue
87,Group_01_87,Group_01,282.25,286.26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,282.25,286.26,1,3,Ok so blue is ten and purple is 
88,Group_01_88,Group_01,286.56,287.08,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,286.56,287.08,1,3,Thirty
89,Group_01_89,Group_01,288.92,292.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,288.92,292.47,1,1,Yes verify real quick but I think it is
90,Group_01_90,Group_01,288.91,289.41,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,90,288.91,289.41,1,2,Yes thirty
91,Group_01_91,Group_01,295.32,304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,295.32,304.62,1,1,Yeah we got them yeah
92,Group_01_92,Group_01,296.48,296.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,296.48,296.79,1,2,Yeah
93,Group_01_93,Group_01,295.66,302.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,295.66,302.75,1,3,Yes do you want to check real quick
94,Group_01_94,Group_01,304.68,305.58,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,94,304.68,305.58,1,1,That looks good to me
95,Group_01_95,Group_01,304.48,306.03,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,95,304.48,306.03,1,2,Seems about right to me
96,Group_01_96,Group_01,305.91,307.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,305.91,307.2,1,3,Ok
97,Group_01_97,Group_01,308.28,312.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97,308.28,312.3,1,1,Uh blue yeah so you said purple sweet
98,Group_01_98,Group_01,312.93,315.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,312.93,315.42,1,2,Purple is thirty red is twenty yellow is fifty
99,Group_01_99,Group_01,313.82,314.42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99,313.82,314.42,1,1,You're right
100,Group_01_100,Group_01,315.66,315.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,315.66,315.91,1,3,Cool
101,Group_01_101,Group_01,318.72,321.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101,318.72,321.81,1,1,Ok we have finished and we were correct
102,Group_01_102,Group_01,321.84,323.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,321.84,323.97,1,4,Ok awesome um
103,Group_01_103,Group_01,324.12,339.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,324.12,339.63,1,4,You are now going to determine the weight of this block without the scale you will have two attempts to get the weight correctly
104,Group_01_104,Group_01,331.17,331.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,331.17,331.83,1,3,Oh
105,Group_01_105,Group_01,334.38,336.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,334.38,336.33,1,1,Ok definitely minimum fifty
106,Group_01_106,Group_01,337.08,337.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,337.08,337.92,1,2,Minimum fifty
107,Group_01_107,Group_01,339.87,341.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,339.87,341.85,1,4,And you can now continue
108,Group_01_108,Group_01,342.06,347.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,342.06,347.07,1,1,Yeah cause if you feel the yellow one oh yeah so yeah
109,Group_01_109,Group_01,344.01,347.07,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,344.01,347.07,1,3,Do we get a glass of water
110,Group_01_110,Group_01,350.73,351.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,350.73,351.67,1,2,Definitely heavier
111,Group_01_111,Group_01,351.31,351.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111,351.31,351.75,1,1,Yeah
112,Group_01_112,Group_01,351.65,352.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,351.65,352.71,1,3,Yeah
113,Group_01_113,Group_01,354.36,359.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,354.36,359.76,1,1,Ok so we got this ok
114,Group_01_114,Group_01,361.23,365.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114,361.23,365.07,1,1,Ooh that seems pretty good pretty close to me
115,Group_01_115,Group_01,365.49,367.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,365.49,367.98,1,2,How much was purple thirty
116,Group_01_116,Group_01,368.7,369.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,368.7,369.42,1,2,Purple was thirty
117,Group_01_117,Group_01,369.91,370.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117,369.91,370.68,1,3,Yeah
118,Group_01_118,Group_01,370.86,372.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,370.86,372.84,1,2,And yellow was fifty
119,Group_01_119,Group_01,373.89,380.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,373.89,380.58,1,1,Yeah try picking these two up and you can close your eyes and try to hold it from the
120,Group_01_120,Group_01,374.64,375.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,374.64,375.25,1,3,Which would put eighty
121,Group_01_121,Group_01,381.48,383.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121,381.48,383.61,1,1,Yeah same point maybe
122,Group_01_122,Group_01,383.7,384.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,383.7,384.33,1,1,I don't know its hard
123,Group_01_123,Group_01,385.08,388.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123,385.08,388.41,1,3,I almost feel like this one is still heavier
124,Group_01_124,Group_01,394.62,399.66,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124,394.62,399.66,1,2,This one feels heavier still add like ten to this side I think
125,Group_01_125,Group_01,402.81,406.89,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,125,402.81,406.89,1,2,It still feels heavier but it could just be
126,Group_01_126,Group_01,407.58,410.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,126,407.58,410.37,1,3,It is definitely denser which could be skewing
127,Group_01_127,Group_01,410.52,412.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,410.52,412.5,1,3,Our perception of it
128,Group_01_128,Group_01,413.43,414.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,413.43,414.58,1,2,So right now that's ninety grams
129,Group_01_129,Group_01,414.91,415.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,414.91,415.83,1,1,Oh jeez yeah
130,Group_01_130,Group_01,416.76,420.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,416.76,420.03,1,1,And na that's freaking that's way
131,Group_01_131,Group_01,420.96,423.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,420.96,423.39,1,2,That's a hundred
132,Group_01_132,Group_01,423.87,430.47,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,132,423.87,430.47,1,1,Yeah that feels pretty pretty similar to me and try switching it left hand right hand maybe
133,Group_01_133,Group_01,432.66,435.72,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,133,432.66,435.72,1,2,That does feel pretty similar give it a shot
134,Group_01_134,Group_01,440.4,442.53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134,440.4,442.53,1,3,Yeah I think its
135,Group_01_135,Group_01,442.68,448.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135,442.68,448.16,1,3,It feels really similar and that's a hundred grams
136,Group_01_136,Group_01,443.66,454.47,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,136,443.66,454.47,1,1,Yeah that's a good first guess and we get two so do you think we should a consensus on that one and this is fifty
137,Group_01_137,Group_01,448.91,450.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,448.91,450.5,1,2,Let's do it yeah a hundred I think
138,Group_01_138,Group_01,455.37,459.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,455.37,459.27,1,2,Thirty twenty right ok yeah
139,Group_01_139,Group_01,455.37,457.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,455.37,457.5,1,1,Thirty twenty
140,Group_01_140,Group_01,460.26,464.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,460.26,464.28,1,1,Uh yeah so should we press the blue arrow
141,Group_01_141,Group_01,464.64,473.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,464.64,473.25,1,3,We're on this screen right now should we go onto the next one ok
142,Group_01_142,Group_01,467.91,473.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,467.91,473.25,1,1,The current weight of the last that was our first test ok
143,Group_01_143,Group_01,470.75,472.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,470.75,472.01,1,4,Oh yeah you can continue
144,Group_01_144,Group_01,473.37,479.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,473.37,479.88,1,3,Two attempts a hundred will it tell us if we get it right or wrong ok
145,Group_01_145,Group_01,473.45,479.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,473.45,479.88,1,1,Ok a hundred ok 
146,Group_01_146,Group_01,481.71,485.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,146,481.71,485.94,1,1,That was not quite correct ok
147,Group_01_147,Group_01,487.11,489.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,487.11,489.69,1,3,I think it's more if it's anything
148,Group_01_148,Group_01,488.16,489.69,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,488.16,489.69,1,2,I think you're thinking more
149,Group_01_149,Group_01,491.07,493.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149,491.07,493.59,1,3,That's less right now
150,Group_01_150,Group_01,493.72,495.42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,493.72,495.42,1,2,Is that less right now oh
