text_a,text_b,labels,strata,original_index
,Then what did you do,5.0,5,144854
,Yep,0.0,0,9088
,I I really appreciate your generosity,0.0,0,30689
,They both used the information that was given and interpreted it differently didnt they,2.0,2,66188
,It s making more sense,0.0,0,23767
,And if the partial quotients is the easiest for you to use I am going to allow you to use that for me personally that is very difficult,0.0,0,136292
,Who has an idea,5.0,5,116252
,Yes,0.0,0,6920
No solution,Okay wait a min wait a minute for you to think about this,0.0,0,8937
,Im gonna have you share with your partners,0.0,0,109277
,So what is the strategy for solving this if you didnt know your twelves,5.0,5,110019
Tenths,Tenths,3.0,3,67543
,How far across,5.0,5,43236
Because,So what is this box worth,5.0,5,71197
,That would totally work,0.0,0,35894
,Yeah Sterling,1.0,1,92829
,Okay so Im gonna do the everyday math deck to as my example,0.0,0,135668
,And then I got 10,0.0,0,98093
,Why do you think its 14,2.0,2,56891
,Nope I got one in fivesixth,0.0,0,143731
,First and foremost Kingslyers down erase your boards clean lids on your Kingslyers erasers down,0.0,0,51395
,All right,0.0,0,96704
Well yeah that too but what did you guys get for the rule,Did you come up with a rule,1.0,1,20281
,As long as I can see your work on  you may,0.0,0,86424
,Four minus four plus negative four is equal to zero right,1.0,1,9190
,And then even though the table doesnt go down by one week every time or go up by one week sorry theyre still spending 5 per week were just going to different amounts of weeks,0.0,0,98980
,So lets see here,0.0,0,102033
10 to the power of seven,Tell me why 10 to the power of seven,6.0,6,131836
,So if all sides are congruent and if all the angles are congruent,0.0,0,102541
Kind of like this like if the numerator on this was 12 then this would be 6,I see Grant has drawn 612  1224 so he is drawing some equivalent fractions,4.0,4,62341
,SOHCAHTOA,0.0,0,106489
,Make sure you answer the questions at the end,0.0,0,74622
,,3.0,3,82585
,Nora,1.0,1,53384
,Here we go,0.0,0,39652
,Weve used the tiling strategy where weve actually taken the tools and put them inside of the object,0.0,0,61510
What I did is I took the denominator of 10 and the numerator of 3 because they have three cans of paint and 10 people,Excellent job,0.0,0,137368
,What do you think Jessica and Laura,1.0,1,23914
,Okay,0.0,0,105971
Six,There you go,0.0,0,72625
,Okay,0.0,0,140729
,Okay so for everybody lets lets talk about the y intercept first,0.0,0,98602
,So I fold it like a burrito and as you can see if you look in the middle I have it evenly folded I have one two three,0.0,0,117868
,Write the name on your dry erase boards what kind of angle is this and how do you know,6.0,6,77161
,What is the red one,5.0,5,44516
,How come the dog gets more treats,6.0,6,88578
