text_a,text_b,labels,strata,original_index
Because thats three more than,Okay,0.0,0,9434
Am I going to make it,No,0.0,0,35914
In a four game series then there are sixteen possible ways,That something could happen,3.0,3,21658
So you re looking at the row 1  2  1,Well Im just going to give you an example   you undeTeachertand,0.0,0,21751
Go ahead rogan,Okay so I was a little confused on this one,2.0,2,48669
Harmony tell me the first one a four plus two fourths equals,34ths,3.0,3,49075
Terrance,What math would you have to do to get X equals 2,2.0,2,27051
Im pretty sure its 179,179,1.0,1,30107
To what,Secant of circumference,3.0,3,4691
It changes the what,It changes the roll radius,3.0,3,2252
You would have to multiply it,n over,1.0,1,20956
Shes not,Nevermind,0.0,0,22427
I  mean the color names,Color names no,0.0,0,535
Okay,Theres no work,0.0,0,34407
That is the second piece,But together they make twothirds,4.0,4,10599
I use the remainder of the problem one because I divided 87 by five and got 17 remainder two,I put two baskets that had six oranges so that there was no remainder,4.0,4,36673
So I have 2 and 48 and what do I need to times,Carrie,0.0,0,51038
You can only put in one number per box,Oh,0.0,0,27200
Lets stay focused please,T,0.0,0,26478
Eight is going to be down here,You always do these ones first,0.0,0,32289
I only got five extras when I did it,Nine ten eleven twelve thirteen fourteen and then,1.0,1,23228
Okay can you say a little bit more about that,Well take the two greens and take a white,3.0,3,23545
Alright so tell me which is bigger,Two thirds,3.0,3,3441
This is like a secondgrade technique,I couldnt do it  dude,0.0,0,23237
Okay so its more of the writing part that doesnt make sense to you its explaining what the rule is,Yes,0.0,0,34007
Lets give it a shot,First I did 6 x 6,3.0,3,24919
Give me your coordinates for both,Wait coordinates What,2.0,2,49517
Katalina,Coordinate,3.0,3,43599
You can only have another B here and you dont have a choice of two any more,But see because its so hard to organize them,4.0,4,23041
Can I subtract,Uh the one or,3.0,3,49298
Around where would you like it,It would be better if mine was wider,0.0,0,5618
No two H and six you can both be divide by,Two,3.0,3,7764
Inside,Outside,1.0,1,3715
Where,Like this,3.0,3,5455
Diego,Maybe its something thats adding,3.0,3,46160
OK,Sixty,1.0,1,20557
I knew 10 x 5 was 50 and then 5 x 6 is 300 so 300 and it would be 50 off,The answer would be 50,4.0,4,36311
3 x 3,Nine,3.0,3,34947
I heard a lot of  people say they would call the white  one    Why would you call the white  one,Well because it takes ten ones to make up an orange,4.0,4,3552
So the book was enlarged,And then I couldnt find out what,0.0,0,50576
34 its that easy so which community is more in support of building the gym,Miya,3.0,3,31903
How many how many uhh bows do you have in this one,Three,3.0,3,11748
Well as I was saying before about the zillionths you could have a line the size of a dust  particle and you could put that on there a zillion times,You would have zillionths,4.0,4,14724
Well thats okay I want you to work on thats okay because youll get that one when we get ready to do it,Can we just erase what we wrote,0.0,0,34032
Times ten,Times ten,1.0,1,19559
Huh,Right,3.0,3,45385
Yo,Alright instead of making it a roll again how about the other person gets to roll,1.0,1,17906
So can we turn most division problems into a multiplication problem,Yes,0.0,0,41671
Ya vi que este no no esta  bien,No esta  bien,3.0,3,283
So lets start on the left side of the line,Yeah,0.0,0,9002
Wait now what do I do,Im trying to figure out how to solve this one,2.0,2,27313
I will  are here and say Goodbye see you,Goodbye see you,0.0,0,33820
We need the uh two oranges and the purple,Yeah I remember two oranges and the purple,1.0,1,2388
Put the mats under because its far too noisy,Yeah Erik have a mat its too noisy,0.0,0,2399
I agree with Zoey,Also you paid with that and  cost that much  thats why you have to put it on top,4.0,4,28834
Shes doing an excellent job here,Oh,0.0,0,8815
Yes,Wait,0.0,0,37138
Cadence give me a two digit number please,,0.0,0,38136
Yellows,Purple,1.0,1,12397
Just real simple,Ruben Ruben,0.0,0,7560
Anna,Youre proving it,3.0,3,42013
Maya what do you think,So that we can check our answers maybe,0.0,0,25227
Then you cut that  in half,That s two,4.0,4,11484
So the only way I actually figured out how to do it was I figured out how half of 5 which is 25,Then I split that in half because I have to take the 4 apart,4.0,4,38869
Cause if  A were a number,Cause if any number multiplied by zero is zero right,4.0,4,10134
Kayla,How did you find,2.0,2,34591
Where are the instructions,Here,0.0,0,8133
Its not perfect but its,But its good,0.0,0,26576
What do we do just diagram them,Yeah just diagram them,0.0,0,3392
Prove it,Look at this,0.0,0,13855
Five me,Let s play more,0.0,0,17978
Okay what about,1 We think its less,3.0,3,13203
Do you think so,She gets more than,3.0,3,33234
This,I can see this,0.0,0,6158
Three wh three wholes,Because if this is a one,3.0,3,577
Isnt it the same thing,Yes,0.0,0,30338
And then,5 is 13,3.0,3,26856
Yes Louise,How many times do you have to go through them,0.0,0,4017
Great job Madeline,Yes I think we have it done,0.0,0,49693
So all these threes would either move up a step onto the next category and uh have two toppings,Or they might stay behind and still only have one if they have the zero,4.0,4,20864
OK,It s not players it s just  a,0.0,0,18263
Nine five and three,Add them together,3.0,3,52228
Let me see if I can understand what James is saying,But its saying it s a half of two meters because the blue  ribbon here is two meters is the whole so then this is half of  two meters that would only be two,4.0,4,11465
No,48,3.0,3,43700
Now you see when number four has a multiplication symbol instead of the word of,How many eggs does Stella use for February,0.0,0,30051
In swim practice if you want to know how many yards youre doing,If youre swimming a 900 you just multiply everything by how many rounds,3.0,3,44202
Hey crew this is your minute and a half warning,Were done,0.0,0,25994
Okay,Thank you,0.0,0,50843
Would we be able to cross out the N plus ones,Well then what are you left with,2.0,2,21472
So those are the same right,No,0.0,0,30406
Right,Ok what would be the thirds,2.0,2,13815
Is that correct and the  greens were on the other side or was it the other way,Well the reds were on the left side,3.0,3,15118
3 times 5 is 15,Yes,0.0,0,33476
233,,0.0,0,47429
Because you know the next ones going to be five and it it has to be a two because You understand why you add,All right,0.0,0,21127
Like here you would have a choice of three different ones,Here you would have a choice of five and like the ones would be like the mushrooms the peppers the whatever just by going like,4.0,4,20890
Where should I put a dot,Where the five fourths is,3.0,3,48832
River,I agree with Zoey,1.0,1,28833
Whats the ruler for,Oh,0.0,0,9019
All right Table 2 whatd you guys come up with,We had 6 toys and we donated 12 of them to charity,3.0,3,28233
Youre going to fix yours,Yeah,0.0,0,41663
Are you there Julia,Yeah sorry I think 1940 is going to be closer to one half,3.0,3,39914
Did you when you add them up make it six repeater and three repeater or just six and three,Just six and three,3.0,3,4519
Why dont you choose the numbers,Three point fourteen,3.0,3,4737
Harper,I noticed that there are different shades of colors,3.0,3,44000
Yes can everybody get a paper,No,0.0,0,29698
And put your names on  there,Okay,0.0,0,12974
Tell me another place he could be,Park,3.0,3,49578
out of,How do I make into a fourth,2.0,2,42845
No three,Four,1.0,1,11605
Franc I dont have room,Wow,0.0,0,27516
Thats right,Teacher the one we call the triangle isnt just one,3.0,3,5938
How many of the roses were red,How many white roses are there,2.0,2,32498
Okay yes maam,What is wrong with that 127,2.0,2,34186
So Arcane give me a number that I can multiply six tenths by to get an equivalent fraction,Can it be any number,0.0,0,38396
That was 100000000000,Oh,0.0,0,47687
Why this 5 works,Yes,0.0,0,33504
Where does this 37 one go,30 to 40,3.0,3,36706
